rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec,con
3155,Kepler-916,b,19h23m56.00s,19.398888133333333,+45d58m23.9s,45.973301,CYG
3156,Kepler-917,b,19h56m12.30s,19.936750666666672,+47d56m57.4s,47.94928400000001,CYG
3157,Kepler-918,b,19h52m48.17s,19.880047933333334,+48d16m04.2s,48.267838,CYG
3158,Kepler-919,b,19h52m27.55s,19.874318133333333,+48d29m39.9s,48.494403999999996,CYG
3159,Kepler-92,b,19h16m20.65s,19.272403866666664,+41d33m46.6s,41.562940999999995,LYR
3160,Kepler-92,c,19h16m20.65s,19.272403866666664,+41d33m46.6s,41.562940999999995,LYR
3161,Kepler-92,d,19h16m20.65s,19.272403866666664,+41d33m46.6s,41.562940999999995,LYR
3162,Kepler-920,b,18h57m11.27s,18.953129933333337,+49d09m31.2s,49.158676,DRA
3163,Kepler-920,c,18h57m11.27s,18.953129933333337,+49d09m31.2s,49.158676,DRA
3164,Kepler-921,b,18h58m27.89s,18.974413666666663,+49d11m26.9s,49.190811,DRA
3165,Kepler-922,b,18h58m55.55s,18.982097466666673,+49d31m59.5s,49.533195,DRA
3166,Kepler-923,b,19h36m41.06s,19.611405666666666,+40d03m18.6s,40.055165,CYG
3167,Kepler-924,b,19h22m40.44s,19.377900800000006,+40d23m51.8s,40.397718,LYR
3168,Kepler-925,b,19h20m25.57s,19.340435933333328,+40d29m26.4s,40.490657,LYR
3169,Kepler-926,b,19h18m43.04s,19.3119562,+40d42m01.7s,40.700466,LYR
3170,Kepler-927,b,19h17m32.04s,19.292234,+41d23m33.7s,41.392695,LYR
3171,Kepler-928,b,19h19m40.97s,19.3280478,+41d32m34.2s,41.542828,LYR
3172,Kepler-929,b,19h53m55.47s,19.8987416,+41d36m55.2s,41.615332,CYG
3173,Kepler-93,b,19h25m40.39s,19.4278854,+38d40m20.5s,38.672354,LYR
3174,Kepler-93,c,19h25m40.39s,19.4278854,+38d40m20.5s,38.672354,LYR
3175,Kepler-930,b,19h53m15.47s,19.8876296,+42d14m50.8s,42.24743400000001,CYG
3176,Kepler-931,b,19h48m31.83s,19.808842733333336,+42d46m05.7s,42.768253,CYG
3177,Kepler-932,b,19h47m48.49s,19.79680413333333,+43d16m19.1s,43.271969,CYG
3178,Kepler-933,b,19h18m16.48s,19.304577266666666,+43d32m19.0s,43.538612,LYR
3179,Kepler-934,b,19h21m09.23s,19.352564466666664,+43d45m19.2s,43.755322,CYG
3180,Kepler-935,b,19h40m05.20s,19.6681112,+46d37m09.2s,46.619217,CYG
3181,Kepler-936,b,19h34m18.66s,19.5718506,+46d44m10.8s,46.736346999999995,CYG
3182,Kepler-937,b,19h36m40.51s,19.611253666666666,+46d42m52.6s,46.714611,CYG
3183,Kepler-937,c,19h36m40.51s,19.611253666666666,+46d42m52.6s,46.714611,CYG
