pl_hostname,pl_letter,con
Kepler-354,d,LYR
Kepler-355,b,LYR
Kepler-355,c,LYR
Kepler-360,b,LYR
Kepler-360,c,LYR
Kepler-363,b,LYR
Kepler-363,c,LYR
Kepler-363,d,LYR
Kepler-364,b,LYR
Kepler-364,c,LYR
Kepler-37,b,LYR
Kepler-37,c,LYR
Kepler-37,d,LYR
Kepler-37,e,LYR
Kepler-376,b,LYR
Kepler-376,c,LYR
Kepler-38,b,LYR
Kepler-381,b,LYR
Kepler-381,c,LYR
Kepler-383,b,LYR
Kepler-383,c,LYR
Kepler-384,b,LYR
Kepler-384,c,LYR
Kepler-387,b,LYR
Kepler-387,c,LYR
Kepler-388,b,LYR
Kepler-388,c,LYR
Kepler-390,b,LYR
Kepler-390,c,LYR
Kepler-392,b,LYR
Kepler-392,c,LYR
Kepler-398,b,LYR
Kepler-398,c,LYR
Kepler-398,d,LYR
Kepler-400,b,LYR
Kepler-400,c,LYR
Kepler-402,b,LYR
Kepler-402,c,LYR
Kepler-402,d,LYR
Kepler-402,e,LYR
Kepler-404,b,LYR
Kepler-404,c,LYR
Kepler-405,b,LYR
Kepler-405,c,LYR
Kepler-410 A,b,LYR
Kepler-412,b,LYR
Kepler-416,b,LYR
Kepler-416,c,LYR
Kepler-421,b,LYR
Kepler-422,b,LYR
Kepler-425,b,LYR
Kepler-427,b,LYR
Kepler-428,b,LYR
Kepler-43,b,LYR
Kepler-431,b,LYR
Kepler-431,c,LYR
Kepler-431,d,LYR
Kepler-438,b,LYR
Kepler-439,b,LYR
Kepler-440,b,LYR
Kepler-442,b,LYR
Kepler-444,b,LYR
Kepler-444,c,LYR
Kepler-444,d,LYR
Kepler-444,e,LYR
Kepler-444,f,LYR
Kepler-446,b,LYR
Kepler-446,c,LYR
Kepler-446,d,LYR
Kepler-453,b,LYR
Kepler-454,b,LYR
Kepler-454,c,LYR
Kepler-46,b,LYR
Kepler-46,c,LYR
Kepler-46,d,LYR
KIC 5437945,c,LYR
Kepler-465,b,LYR
Kepler-467,b,LYR
Kepler-473,b,LYR
Kepler-475,b,LYR
Kepler-477,b,LYR
Kepler-479,b,LYR
Kepler-483,b,LYR
Kepler-484,b,LYR
Kepler-489,b,LYR
Kepler-491,b,LYR
Kepler-495,b,LYR
Kepler-496,b,LYR
Kepler-497,b,LYR
Kepler-503,b,LYR
Kepler-504,b,LYR
Kepler-505,b,LYR
Kepler-506,b,LYR
Kepler-510,b,LYR
Kepler-511,b,LYR
Kepler-518,b,LYR
Kepler-522,b,LYR
Kepler-523,b,LYR
Kepler-53,b,LYR
Kepler-53,c,LYR
Kepler-53,d,LYR
Kepler-543,b,LYR
Kepler-545,b,LYR
Kepler-546,b,LYR
Kepler-547,b,LYR
Kepler-549,b,LYR
Kepler-549,c,LYR
Kepler-55,b,LYR
Kepler-55,c,LYR
Kepler-55,d,LYR
Kepler-55,e,LYR
Kepler-55,f,LYR
Kepler-555,b,LYR
Kepler-556,b,LYR
Kepler-558,b,LYR
Kepler-565,b,LYR
Kepler-575,b,LYR
Kepler-578,b,LYR
Kepler-580,b,LYR
Kepler-583,b,LYR
Kepler-584,b,LYR
Kepler-585,b,LYR
Kepler-59,b,LYR
Kepler-59,c,LYR
Kepler-599,b,LYR
Kepler-60,b,LYR
Kepler-60,c,LYR
Kepler-60,d,LYR
Kepler-600,b,LYR
Kepler-601,b,LYR
Kepler-605,b,LYR
Kepler-605,c,LYR
Kepler-611,b,LYR
Kepler-613,b,LYR
Kepler-615,b,LYR
Kepler-617,b,LYR
Kepler-62,b,LYR
Kepler-62,c,LYR
Kepler-62,d,LYR
Kepler-62,e,LYR
Kepler-62,f,LYR
Kepler-621,b,LYR
Kepler-622,b,LYR
Kepler-626,b,LYR
Kepler-628,b,LYR
Kepler-629,b,LYR
Kepler-634,b,LYR
Kepler-635,b,LYR
Kepler-638,b,LYR
Kepler-641,b,LYR
Kepler-643,b,LYR
Kepler-647,b,LYR
Kepler-648,b,LYR
Kepler-649,b,LYR
Kepler-65,b,LYR
Kepler-65,c,LYR
Kepler-65,d,LYR
Kepler-651,b,LYR
Kepler-652,b,LYR
Kepler-653,b,LYR
Kepler-653,c,LYR
Kepler-656,b,LYR
Kepler-658,b,LYR
Kepler-659,b,LYR
Kepler-683,b,LYR
Kepler-684,b,LYR
Kepler-686,b,LYR
Kepler-687,b,LYR
Kepler-691,b,LYR
Kepler-693,b,LYR
Kepler-694,b,LYR
Kepler-697,b,LYR
Kepler-698,b,LYR
Kepler-7,b,LYR
Kepler-700,b,LYR
Kepler-701,b,LYR
Kepler-704,b,LYR
Kepler-705,b,LYR
Kepler-706,b,LYR
Kepler-707,b,LYR
Kepler-710,b,LYR
Kepler-714,b,LYR
Kepler-715,b,LYR
Kepler-716,b,LYR
Kepler-721,b,LYR
Kepler-723,b,LYR
Kepler-725,b,LYR
Kepler-729,b,LYR
Kepler-730,b,LYR
Kepler-732,b,LYR
Kepler-732,c,LYR
Kepler-735,b,LYR
Kepler-736,b,LYR
Kepler-738,b,LYR
Kepler-740,b,LYR
Kepler-742,b,LYR
Kepler-745,b,LYR
Kepler-746,b,LYR
Kepler-747,b,LYR
Kepler-75,b,LYR
Kepler-753,b,LYR
Kepler-756,b,LYR
Kepler-759,b,LYR
Kepler-760,b,LYR
Kepler-760,c,LYR
Kepler-765,b,LYR
Kepler-767,b,LYR
Kepler-770,b,LYR
Kepler-770,c,LYR
Kepler-770,d,LYR
Kepler-771,b,LYR
Kepler-772,b,LYR
Kepler-773,b,LYR
Kepler-774,b,LYR
Kepler-775,b,LYR
Kepler-776,b,LYR
Kepler-777,b,LYR
Kepler-778,b,LYR
Kepler-779,b,LYR
Kepler-780,b,LYR
Kepler-781,b,LYR
Kepler-785,b,CYG+LYR
Kepler-787,b,LYR
Kepler-788,b,LYR
Kepler-790,b,LYR
Kepler-792,b,LYR
Kepler-794,b,LYR
Kepler-795,b,LYR
Kepler-796,b,LYR
Kepler-799,b,LYR
Kepler-8,b,LYR
Kepler-800,b,LYR
Kepler-801,b,LYR
Kepler-802,b,LYR
Kepler-820,b,LYR
Kepler-821,b,LYR
Kepler-823,b,LYR
Kepler-824,b,LYR
Kepler-826,b,LYR
Kepler-828,b,LYR
Kepler-829,b,LYR
Kepler-83,b,LYR
Kepler-83,c,LYR
Kepler-83,d,LYR
Kepler-834,b,LYR
Kepler-835,b,LYR
Kepler-836,b,LYR
Kepler-837,b,LYR
Kepler-838,b,LYR
Kepler-859,b,LYR
Kepler-864,b,LYR
Kepler-866,b,LYR
Kepler-868,b,LYR
Kepler-876,b,LYR
Kepler-878,b,LYR
Kepler-880,b,LYR
Kepler-886,b,LYR
Kepler-887,b,LYR
Kepler-887,c,LYR
Kepler-890,b,LYR
Kepler-891,b,LYR
Kepler-892,b,LYR
Kepler-893,b,LYR
Kepler-896,b,LYR
Kepler-898,b,LYR
Kepler-9,b,LYR
Kepler-9,c,LYR
Kepler-9,d,LYR
Kepler-901,b,LYR
Kepler-903,b,LYR
Kepler-903,c,LYR
Kepler-904,b,LYR
Kepler-906,b,LYR
Kepler-907,b,LYR
Kepler-91,b,LYR
Kepler-92,b,LYR
Kepler-92,c,LYR
Kepler-92,d,LYR
Kepler-924,b,LYR
Kepler-925,b,LYR
Kepler-926,b,LYR
Kepler-927,b,LYR
Kepler-928,b,LYR
Kepler-93,b,LYR
Kepler-93,c,LYR
Kepler-933,b,LYR
Kepler-94,b,LYR
Kepler-94,c,LYR
Kepler-943,b,LYR
Kepler-945,b,LYR
Kepler-95,b,LYR
Kepler-950,b,LYR
Kepler-951,b,LYR
Kepler-952,b,LYR
Kepler-955,b,LYR
Kepler-958,b,LYR
Kepler-960,b,LYR
Kepler-961,b,LYR
Kepler-967,b,LYR
Kepler-967,c,LYR
Kepler-970,b,LYR
Kepler-971,b,LYR
Kepler-974,b,LYR
Kepler-975,b,LYR
Kepler-977,b,LYR
Kepler-978,b,LYR
Kepler-98,b,LYR
Kepler-982,b,CYG+LYR
Kepler-983,b,LYR
Kepler-988,b,LYR
Kepler-989,b,LYR
Kepler-992,b,LYR
Kepler-995,b,LYR
Kepler-996,b,LYR
TrES-1,b,LYR
WASP-153,b,LYR
WASP-3,b,LYR
WASP-58,b,LYR
