pl_hostname,pl_letter,con
Kepler-173,b,CYG
Kepler-173,c,CYG
Kepler-175,b,CYG
Kepler-175,c,CYG
Kepler-176,b,CYG
Kepler-176,c,CYG
Kepler-176,d,CYG
Kepler-176,e,CYG
Kepler-179,b,CYG
Kepler-179,c,CYG
Kepler-18,b,CYG
Kepler-18,c,CYG
Kepler-18,d,CYG
Kepler-180,b,CYG
Kepler-180,c,CYG
Kepler-181,b,CYG
Kepler-181,c,CYG
Kepler-182,b,CYG
Kepler-182,c,CYG
Kepler-183,b,CYG
Kepler-183,c,CYG
Kepler-186,b,CYG
Kepler-186,c,CYG
Kepler-186,d,CYG
Kepler-186,e,CYG
Kepler-186,f,CYG
Kepler-187,b,CYG
Kepler-187,c,CYG
Kepler-190,b,CYG
Kepler-190,c,CYG
Kepler-191,b,CYG
Kepler-191,c,CYG
Kepler-191,d,CYG
Kepler-193,b,CYG
Kepler-193,c,CYG
Kepler-194,b,CYG
Kepler-194,c,CYG
Kepler-194,d,CYG
Kepler-195,b,CYG
Kepler-195,c,CYG
Kepler-197,b,CYG
Kepler-197,c,CYG
Kepler-197,d,CYG
Kepler-197,e,CYG
Kepler-199,b,CYG
Kepler-199,c,CYG
Kepler-201,b,CYG
Kepler-201,c,CYG
Kepler-203,b,CYG
Kepler-203,c,CYG
Kepler-203,d,CYG
Kepler-208,b,CYG
Kepler-208,c,CYG
Kepler-208,d,CYG
Kepler-208,e,CYG
Kepler-210,b,CYG
Kepler-210,c,CYG
Kepler-213,b,CYG
Kepler-213,c,CYG
Kepler-215,b,CYG
Kepler-215,c,CYG
Kepler-215,d,CYG
Kepler-215,e,CYG
Kepler-216,b,CYG
Kepler-216,c,CYG
Kepler-217,b,CYG
Kepler-217,c,CYG
Kepler-217,d,CYG
Kepler-218,b,CYG
Kepler-218,c,CYG
Kepler-218,d,CYG
Kepler-219,b,CYG
Kepler-219,c,CYG
Kepler-219,d,CYG
Kepler-22,b,CYG
Kepler-220,b,CYG
Kepler-220,c,CYG
Kepler-220,d,CYG
Kepler-220,e,CYG
Kepler-221,b,CYG
Kepler-221,c,CYG
Kepler-221,d,CYG
Kepler-221,e,CYG
Kepler-223,b,CYG
Kepler-223,c,CYG
Kepler-223,d,CYG
Kepler-223,e,CYG
Kepler-224,b,CYG
Kepler-224,c,CYG
Kepler-224,d,CYG
Kepler-224,e,CYG
Kepler-225,b,CYG
Kepler-225,c,CYG
Kepler-226,b,CYG
Kepler-226,c,CYG
Kepler-226,d,CYG
Kepler-227,b,CYG
Kepler-227,c,CYG
Kepler-228,b,CYG
Kepler-228,c,CYG
Kepler-228,d,CYG
Kepler-23,b,CYG
Kepler-23,c,CYG
Kepler-23,d,CYG
Kepler-231,b,CYG
Kepler-231,c,CYG
Kepler-232,b,CYG
Kepler-232,c,CYG
Kepler-233,b,CYG
Kepler-233,c,CYG
Kepler-239,b,CYG
Kepler-239,c,CYG
Kepler-241,b,CYG
Kepler-241,c,CYG
Kepler-246,b,CYG
Kepler-246,c,CYG
Kepler-248,b,CYG
Kepler-248,c,CYG
Kepler-249,b,CYG
Kepler-249,c,CYG
Kepler-249,d,CYG
Kepler-250,b,CYG
Kepler-250,c,CYG
Kepler-250,d,CYG
Kepler-251,b,CYG
Kepler-251,c,CYG
Kepler-251,d,CYG
Kepler-251,e,CYG
Kepler-252,b,CYG
Kepler-252,c,CYG
Kepler-253,b,CYG
Kepler-253,c,CYG
Kepler-253,d,CYG
Kepler-255,b,CYG
Kepler-255,c,CYG
Kepler-255,d,CYG
Kepler-256,b,CYG
Kepler-256,c,CYG
Kepler-256,d,CYG
Kepler-256,e,CYG
Kepler-257,b,CYG
Kepler-257,c,CYG
Kepler-257,d,CYG
Kepler-258,b,CYG
Kepler-258,c,CYG
Kepler-263,b,CYG
